question,truth
1,7
2,7
3,7
4,8
5,9
6,10
7,10
8,11
9,11
10,13
11,14
12,15
13,7
14,8
15,9
16,10
17,11
18,11
19,13
20,13
21,14
22,14
23,15
24,15
25,8
26,8
27,8
28,9
29,9
30,10
31,11
32,11
33,13
34,14
35,15
36,15
37,8
38,9
39,10
40,11
41,11
42,13
43,13
44,14
45,14
46,14
47,15
48,15
49,8
50,10
51,7
52,7
53,8
54,8
55,9
56,9
57,10
58,10
59,13
60,15
61,9
62,14
63,7
64,9
65,9
66,10
67,13
68,14
69,14
70,15
71,9
72,14
73,25
74,5
75,33
76,36
77,53
78,58
79,60
80,75
81,80
82,81
83,81
84,82
85,20
86,34
87,40
88,45
89,60
90,67
91,71
92,74
93,85
94,88
95,103
96,105
97,21
98,25
99,26
100,27
101,5
102,33
103,53
104,60
105,75
106,95
107,96
108,103
109,5
110,5
111,34
112,45
113,56
114,57
115,72
116,99
117,107
118,75
119,78
120,89
121,30
122,36
123,37
124,43
125,50
126,58
127,67
128,80
129,82
130,87
131,89
132,101
133,27
134,27
135,44
136,45
137,52
138,63
139,66
140,73
141,84
142,85
143,102
144,16
145,40
146,42
147,46
148,47
149,55
150,66
151,67
152,74
153,78
154,80
155,99
156,23
157,34
158,37
159,46
160,54
161,71
162,71
163,82
164,96
165,100
166,100
167,101
168,21
169,33
170,40
171,67
172,67
173,68
174,26
175,30
176,32
177,40
178,57
179,64
180,82
181,82
182,89
183,101
184,23
185,29
186,29
187,33
188,52
189,54
190,61
191,64
192,85
193,104
194,32
195,32
196,71
197,71
198,73
199,87
200,100
201,101
202,81
203,62
204,33
205,106
206,16
207,107
208,5
209,36
210,40
211,48
212,65
213,72
214,80
215,81
216,85
217,89
218,89
219,18
220,19
221,27
222,61
223,85
224,88
225,105
226,106
227,29
228,43
229,57
230,68
231,72
232,73
233,74
234,82
235,103
236,103
237,105
238,106
239,27
240,42
241,46
242,48
243,56
244,66
245,68
246,78
247,81
248,84
249,107
250,55
251,57
252,60
253,60
254,75
255,17
256,41
257,46
258,54
259,64
260,90
261,90
262,96
263,101
264,61
265,84
266,18
267,20
268,23
269,5
270,43
271,89
272,75
273,32
274,35
275,53
276,53
277,56
278,56
279,61
280,68
281,73
282,80
283,102
284,17
285,17
286,31
287,33
288,66
289,72
290,72
291,89
292,95
293,105
294,19
295,40
296,46
297,52
298,54
299,67
300,68
301,73
302,90
303,95
304,100
305,25
306,35
307,90
308,99
309,5
310,31
311,41
312,42
313,48
314,56
315,65
316,73
317,75
318,82
319,105
320,29
321,5
322,81
323,30
324,63
325,81
326,95
327,41
328,43
329,56
330,103
331,105
332,43
333,52
334,58
