question,truth
20814_clueweb09-en0009-33-35602,3
20042_clueweb09-en0009-33-55352,3
20202_clueweb09-en0009-33-53292,3
20480_clueweb09-en0009-33-12252,3
20202_clueweb09-en0009-33-96772,3
20488_clueweb09-en0009-33-81272,3
20008_clueweb09-enwp01-67-09358,2
20186_clueweb09-en0002-14-22323,0
20102_clueweb09-en0009-33-54872,3
20780_clueweb09-en0004-72-06289,0
20996_clueweb09-enwp01-69-11963,2
20528_clueweb09-en0007-00-24496,0
20488_clueweb09-en0002-69-18719,1
20330_clueweb09-enwp01-74-01210,2
20384_clueweb09-en0010-44-36687,0
20228_clueweb09-en0004-36-03672,1
20008_clueweb09-enwp01-67-09359,2
20446_clueweb09-en0009-33-13102,3
20642_clueweb09-en0007-09-22149,1
20508_clueweb09-enwp00-48-10253,2
20958_clueweb09-en0009-33-16482,3
20008_clueweb09-en0004-81-16386,1
20972_clueweb09-enwp03-31-14510,0
20034_clueweb09-en0009-33-5110,3
20244_clueweb09-en0004-34-15400,2
20006_clueweb09-enwp01-16-13350,1
20144_clueweb09-en0008-28-30750,0
20636_clueweb09-en0006-11-23684,0
20636_clueweb09-en0006-11-23687,0
20636_clueweb09-en0002-13-18785,2
20102_clueweb09-en0009-57-41203,1
20048_clueweb09-en0010-78-24757,1
20224_clueweb09-en0004-45-32277,0
20224_clueweb09-en0004-45-32276,0
20996_clueweb09-enwp01-06-10181,0
20374_clueweb09-en0003-48-03560,1
20958_clueweb09-en0002-48-21058,1
20152_clueweb09-enwp00-44-14968,1
20778_clueweb09-en0008-79-19320,1
20026_clueweb09-enwp00-83-11659,2
20764_clueweb09-en0009-33-88782,3
20032_clueweb09-en0008-92-27843,2
20032_clueweb09-en0008-92-27842,2
20352_clueweb09-en0001-34-29410,1
20176_clueweb09-en0009-33-19532,3
20022_clueweb09-en0000-45-23196,2
20036_clueweb09-en0009-33-60182,3
20244_clueweb09-enwp00-89-14551,2
20778_clueweb09-en0011-07-25525,0
20032_clueweb09-en0002-37-23375,1
20014_clueweb09-en0009-33-7958,3
20036_clueweb09-en0000-44-14738,0
20642_clueweb09-en0006-35-31356,2
20484_clueweb09-en0009-33-74862,3
20932_clueweb09-enwp00-71-20995,0
20922_clueweb09-en0009-33-89242,3
20180_clueweb09-en0010-39-00085,0
